Time,Count1,Count2,Count3,Count4,Count5,Count6,0~5,5~10,10~15,15~20,20~25,25~30,30~35,35~40,40~45,45~50,50~55,55~60,60~65,65~70,70~75,75~80,80~85,85~90,90~95,95~100,100~105,105~110,110~115,115~120,120~125,125~130,130~135,135~140,140~145,145~150,150~155,155~160,160~165,165~170,170~175,175~180,180~185,185~190,190~195,195~200,Total,Sigma,Dm,Rel.Humidity,Pressure,Ambient,0.2um,0.3um,0.5um,0.7um,1.0um,2.0um,2.5um,3.0um,5.0um,7.0um,10um,>10um,PM1,PM2.5,PM10,Surface Area
18:16:30,648.5,567.5,539.2,516.8,435.5,414.1,0,0,0.001,0.019,0.133,0.568,1.732,4.126,8.148,13.891,21.04,28.915,36.637,43.329,48.297,51.139,51.764,50.354,47.279,43.009,38.023,32.759,27.568,22.708,18.34,14.546,11.346,8.714,6.597,4.928,3.635,2.651,1.912,1.365,0.965,0.676,0.469,0.323,0.221,0.15,648.5,1.2924172E-8,8.9157452E-8,46.77,984.29,25.07,4.99429,1.01143,0.382857,0.217143,0.12,0.0742857,0.04,0.0285714,0.00571429,0,0,0.0171429,4.07865e-07,7.77703e-07,1.28031e-06,21.3831
18:19:51,960.4,882.5,806.1,603.1,597.4,543.5,0.015,0.268,1.214,3.172,6.208,10.181,14.825,19.818,24.843,29.617,33.918,37.583,40.516,42.672,44.054,44.7,44.673,44.052,42.926,41.385,39.519,37.411,35.137,32.764,30.351,27.944,25.585,23.303,21.122,19.06,17.127,15.33,13.671,12.149,10.762,9.504,8.368,7.348,6.436,5.623,960.4,2.3588253E-8,1.0183929E-7,47.7,984.3,24.76,5.29714,1.05143,0.474286,0.217143,0.16,0.0457143,0.0171429,0.0171429,0.0171429,0,0,0.0171429,8.15611e-07,9.98637e-07,1.75977e-06,36.141
18:23:11,897.2,837.5,810.7,790.5,669.2,567.2,0,0,0,0.005,0.028,0.109,0.325,0.787,1.631,2.993,4.98,7.644,10.97,14.87,19.194,23.745,28.3,32.639,36.557,39.886,42.504,44.337,45.36,45.589,45.081,43.916,42.194,40.023,37.516,34.778,31.908,28.994,26.108,23.309,20.645,18.147,15.838,13.729,11.826,10.124,897.2,2.0478238E-8,1.29660478E-7,48.31,984.32,24.63,6.78857,1.14857,0.468571,0.177143,0.125714,0.0857143,0.0571429,0.0228571,0.0171429,0.0114286,0,0.04,1.17397e-06,1.66625e-06,3.78215e-06,50.6189
18:26:31,1159,1003,653.7,478.2,446.5,370.2,0,0,0,0.009,0.079,0.418,1.514,4.155,9.232,17.376,28.614,42.215,56.814,70.726,82.341,90.447,94.415,94.22,90.333,83.555,74.829,65.083,55.121,45.563,36.833,29.171,22.669,17.311,13.005,9.624,7.021,5.055,3.595,2.526,1.756,1.208,0.823,0.556,0.372,0.247,1159,1.2570162E-8,9.1839112E-8,46.75,984.28,25.33,8.13143,1.41714,0.805714,0.354286,0.154286,0.08,0.0628571,0.04,0.0342857,0.00571429,0,0.04,7.45434e-07,1.26169e-06,3.49246e-06,40.8046
18:29:51,1006,626.4,545,466.5,464.7,464.5,17.152,48.267,69.943,82.014,86.589,85.855,81.64,75.346,67.997,60.304,52.74,45.602,39.057,33.182,27.998,23.482,19.592,16.271,13.457,11.09,9.108,7.459,6.091,4.962,4.033,3.271,2.648,2.14,1.726,1.39,1.118,0.898,0.72,0.577,0.462,0.369,0.295,0.235,0.188,0.149,1006,1.4469123E-8,4.3507342E-8,47.46,984.28,24.8,5.37714,0.811429,0.4,0.182857,0.114286,0.0628571,0.0171429,0.0457143,0.0114286,0,0,0.0114286,2.02132e-07,4.15452e-07,1.29622e-06,12.3828
18:33:11,657.4,555.7,493.1,457.5,435.4,393.4,0.019,0.488,2.581,7.141,14.013,22.269,30.697,38.201,44.015,47.755,49.377,49.078,47.2,44.146,40.313,36.057,31.669,27.374,23.326,19.624,16.322,13.434,10.954,8.855,7.101,5.654,4.471,3.514,2.746,2.134,1.65,1.27,0.973,0.743,0.565,0.428,0.323,0.243,0.182,0.136,657.4,1.4389699E-8,6.6748804E-8,47.38,984.29,25.41,4.75429,0.908571,0.297143,0.177143,0.114286,0.08,0.0571429,0.00571429,0.0228571,0.0171429,0,0.00571429,2.51319e-07,7.33498e-07,3.50048e-06,16.9743
18:36:31,1563,774,637,567.8,368.4,316,5.023,28.628,60.998,91.049,113.482,126.866,131.881,130.143,123.507,113.697,102.147,89.96,77.92,66.549,56.156,46.893,38.801,31.847,25.952,21.013,16.916,13.547,10.797,8.568,6.772,5.333,4.186,3.275,2.555,1.988,1.542,1.194,0.923,0.711,0.547,0.42,0.322,0.247,0.188,0.144,1563,1.3686426E-8,4.8994618E-8,47.15,984.32,25,5.06857,0.994286,0.422857,0.188571,0.12,0.04,0.0457143,0.0285714,0.0228571,0.0114286,0.00571429,0.0228571,3.03056e-07,6.46387e-07,4.85346e-06,22.8362
18:39:51,501.1,488.2,416.1,395.8,365.5,351,0,0,0.004,0.03,0.118,0.338,0.773,1.504,2.592,4.059,5.887,8.017,10.358,12.798,15.22,17.508,19.563,21.305,22.677,23.65,24.214,24.381,24.18,23.652,22.842,21.804,20.59,19.251,17.832,16.375,14.917,13.487,12.107,10.797,9.568,8.43,7.385,6.436,5.581,4.817,501.1,2.1636138E-8,1.22689372E-7,48.54,984.31,24.99,3.99429,0.948571,0.422857,0.165714,0.142857,0.0628571,0.0457143,0,0.0228571,0,0.00571429,0.0114286,6.25969e-07,1.00969e-06,3.6131e-06,27.6818
18:43:12,702,485.5,480,467,346.5,340,0,0,0.004,0.046,0.275,1.044,2.888,6.344,11.704,18.828,27.13,35.71,43.58,49.882,54.034,55.801,55.262,52.742,48.707,43.675,38.138,32.513,27.119,22.173,17.8,14.052,10.921,8.367,6.325,4.722,3.485,2.544,1.838,1.316,0.933,0.656,0.458,0.317,0.218,0.149,702,1.3005644E-8,8.677798E-8,46.7,984.3,25.27,4.97143,0.925714,0.451429,0.131429,0.114286,0.08,0.0514286,0.0285714,0.0228571,0.00571429,0,0.0285714,4.02599e-07,8.50697e-07,2.57404e-06,23.6069
18:46:32,787,782.7,732.4,726.1,705.8,572.7,0.044,0.546,1.976,4.432,7.755,11.665,15.85,20.024,23.948,27.442,30.387,32.718,34.413,35.486,35.976,35.939,35.441,34.555,33.352,31.9,30.264,28.5,26.66,24.786,22.914,21.075,19.291,17.58,15.955,14.425,12.995,11.668,10.444,9.321,8.296,7.364,6.52,5.76,5.077,4.466,787,2.4374403E-8,9.8859828E-8,48.39,984.33,25.02,4.73714,0.891429,0.411429,0.182857,0.0914286,0.0742857,0.0285714,0.0171429,0.0114286,0,0.00571429,0,6.2289e-07,9.24567e-07,3.33167e-06,29.8845
